composer,title,midi_path,metadata,metadata_composer,metadata_title,bootleg_score_path
"Nazareth, Ernesto",Ferramenta,"../GiantMIDI/midis/Nazareth, Ernesto, Ferramenta, DL2ZqA3Ayho.mid",True,"Nazareth, Ernesto",Ferramenta,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Ferramenta_"
"Nazareth, Ernesto",A flor de meus sonhos,"../GiantMIDI/midis/Nazareth, Ernesto, A flor de meus sonhos, k56MH32Eo-4.mid",True,"Nazareth, Ernesto",A flor de meus sonhos,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/A_flor_de_meus_sonhos_"
"Nazareth, Ernesto",Floraux,"../GiantMIDI/midis/Nazareth, Ernesto, Floraux, S-cA2e1ZH48.mid",True,"Nazareth, Ernesto",Floraux,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Floraux_"
"Nazareth, Ernesto",A florista,"../GiantMIDI/midis/Nazareth, Ernesto, A florista, qnoC_ODjJEc.mid",False,,,
"Nazareth, Ernesto",Fon-Fon,"../GiantMIDI/midis/Nazareth, Ernesto, Fon-Fon, NXi44ShGyIc.mid",True,"Nazareth, Ernesto",Fon-Fon!,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Fon-Fon!_"
"Nazareth, Ernesto",Garoto,"../GiantMIDI/midis/Nazareth, Ernesto, Garoto, C3jzwtUdank.mid",True,"Nazareth, Ernesto",Garoto,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Garoto_"
"Nazareth, Ernesto",1922,"../GiantMIDI/midis/Nazareth, Ernesto, 1922, nMunOp_3i2U.mid",True,"Nazareth, Ernesto",1922,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/1922_"
"Nazareth, Ernesto",Odeon,"../GiantMIDI/midis/Nazareth, Ernesto, Odeon, UWtmW7tejrI.mid",False,,,
"Nazareth, Ernesto",Quebra-Cabeças,"../GiantMIDI/midis/Nazareth, Ernesto, Quebra-Cabeças, GnBQLygjBlU.mid",True,"Nazareth, Ernesto",Quebra-Cabeças,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Quebra-Cabeças_"
"Nazareth, Ernesto",Recordações do passado,"../GiantMIDI/midis/Nazareth, Ernesto, Recordações do passado, qjcWTjvxvg4.mid",True,"Nazareth, Ernesto",Recordações do passado,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Recordações_do_passado_"
"Nazareth, Ernesto",Resignação,"../GiantMIDI/midis/Nazareth, Ernesto, Resignação, iZVvBowi5xs.mid",True,"Nazareth, Ernesto",Resignação,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Resignação_"
"Nazareth, Ernesto",Rosa Maria,"../GiantMIDI/midis/Nazareth, Ernesto, Rosa Maria, LP1XjM0Ilqo.mid",True,"Nazareth, Ernesto",Rosa Maria,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Rosa_Maria_"
"Nazareth, Ernesto",Tango Habanera,"../GiantMIDI/midis/Nazareth, Ernesto, Tango Habanera, zt9BxBpIniE.mid",True,"Nazareth, Ernesto",Tango Habanera,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Tango_Habanera_"
"Nazareth, Ernesto",Tudo Sobe!...,"../GiantMIDI/midis/Nazareth, Ernesto, Tudo Sobe!..., l5c99Cl2vUM.mid",True,"Nazareth, Ernesto",Tudo Sobe!...,
"Nazareth, Ernesto",Turbilhão de beijos,"../GiantMIDI/midis/Nazareth, Ernesto, Turbilhão de beijos, 3-PkETYt0uk.mid",True,"Nazareth, Ernesto",Turbilhão de beijos,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Turbilhão_de_beijos_"
"Nazareth, Ernesto",Turuna,"../GiantMIDI/midis/Nazareth, Ernesto, Turuna, UipRPax7ycQ.mid",True,"Nazareth, Ernesto",Turuna,"imslp_bootleg_dir-v1.1/Nazareth,_Ernesto/Turuna_"
"Neal, Heinrich","24 Klavier-Etüden, Op.75","../GiantMIDI/midis/Neal, Heinrich, 24 Klavier-Etüden, Op.75, aJv_d490fNU.mid",True,"Neal, Heinrich",24 Klavier-Etüden,"imslp_bootleg_dir-v1.1/Neal,_Heinrich/24_Klavier-Etüden_"
"Nebling, Emil",Die Spieldose,"../GiantMIDI/midis/Nebling, Emil, Die Spieldose, mcrROmh2L30.mid",True,"Nebling, Emil",Die Spieldose,"imslp_bootleg_dir-v1.1/Nebling,_Emil/Die_Spieldose_"
"Nechayev, Vasily","Piano Sonata, Op.7","../GiantMIDI/midis/Nechayev, Vasily, Piano Sonata, Op.7, eV0w7ufts9w.mid",True,"Nechayev, Vasily",Piano Sonata in F Major,"imslp_bootleg_dir-v1.1/Nechayev,_Vasily/Piano_Sonata_in_F_Major_"
"Nedbal, Oskar",Weihnachtsstimmung,"../GiantMIDI/midis/Nedbal, Oskar, Weihnachtsstimmung, dPEDIaOSeW4.mid",True,"Nedbal, Oskar",Weihnachtsstimmung,"imslp_bootleg_dir-v1.1/Nedbal,_Oskar/Weihnachtsstimmung_"
"Neff, Lyle K.",'Tati-Tati' Polka,"../GiantMIDI/midis/Neff, Lyle K., 'Tati-Tati' Polka, mS9WGal6DU0.mid",False,,,
"Neff, Lyle K.",Cranberry Lake Rag,"../GiantMIDI/midis/Neff, Lyle K., Cranberry Lake Rag, wt9H9J2YRcM.mid",True,"Neff, Lyle K.",Cranberry Lake Rag,"imslp_bootleg_dir-v1.1/Neff,_Lyle_K./Cranberry_Lake_Rag_"
"Neff, Lyle K.",4 Pieces for Horn and Piano,"../GiantMIDI/midis/Neff, Lyle K., 4 Pieces for Horn and Piano, FX0XiML6rLg.mid",False,,,
"Neff, Lyle K.",Sonata for Horn and Piano,"../GiantMIDI/midis/Neff, Lyle K., Sonata for Horn and Piano, oPTQ7fEHQS8.mid",False,,,
"Negri, Cesare",Alemana d'Amore,"../GiantMIDI/midis/Negri, Cesare, Alemana d'Amore, SV1LGfEfEZU.mid",False,,,
"Nehls, Ulrich",Eine kleine Funk-Musik,"../GiantMIDI/midis/Nehls, Ulrich, Eine kleine Funk-Musik, JWbgQURX5xA.mid",True,"Nehls, Ulrich",Eine kleine Funk-Musik,"imslp_bootleg_dir-v1.1/Nehls,_Ulrich/Eine_kleine_Funk-Musik_"
"Nehls, Ulrich",Meditation,"../GiantMIDI/midis/Nehls, Ulrich, Meditation, hzMjvh8LHu4.mid",False,,,
"Nehrlich, Johann Peter Theodor","Variations on a Russian Song, Op.1","../GiantMIDI/midis/Nehrlich, Johann Peter Theodor, Variations on a Russian Song, Op.1, w0gzNXJgr-E.mid",True,"Nehrlich, Johann Peter Theodor",Variations on a Russian Song,"imslp_bootleg_dir-v1.1/Nehrlich,_Johann_Peter_Theodor/Variations_on_a_Russian_Song_"
"Neidlinger, William Harold","Sing, Oh, Sing, This Blessed Morn","../GiantMIDI/midis/Neidlinger, William Harold, Sing, Oh, Sing, This Blessed Morn, RH72kDK5Qc0.mid",False,,,
"Nemerovsky, Aleksandr",Gebet,"../GiantMIDI/midis/Nemerovsky, Aleksandr, Gebet, YhixlqohnsE.mid",False,,,
"Nenov, Dimitar",Miniatures,"../GiantMIDI/midis/Nenov, Dimitar, Miniatures, YMamnTZSQ0s.mid",True,"Nenov, Dimitar",Miniatures,"imslp_bootleg_dir-v1.1/Nenov,_Dimitar/Miniatures_"
"Nenov, Dimitar",Toccata,"../GiantMIDI/midis/Nenov, Dimitar, Toccata, Q7XmF73f1NY.mid",False,,,
"Nepomuceno, Alberto","Cloches de Noël, SN1.24","../GiantMIDI/midis/Nepomuceno, Alberto, Cloches de Noël, SN1.24, 43_3OS0mNsQ.mid",True,"Nepomuceno, Alberto",Cloches de Noël,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Cloches_de_Noël_"
"Nepomuceno, Alberto","Devaneio, Op.27 No.1","../GiantMIDI/midis/Nepomuceno, Alberto, Devaneio, Op.27 No.1, 0BLzmxL1nGE.mid",True,"Nepomuceno, Alberto",Devaneio,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Devaneio_"
"Nepomuceno, Alberto","Improviso, Op.27 No.2","../GiantMIDI/midis/Nepomuceno, Alberto, Improviso, Op.27 No.2, Cc-HuzV5Omk.mid",True,"Nepomuceno, Alberto",Improviso,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Improviso_"
"Nepomuceno, Alberto","Mazurka No.1, Op.1 No.2","../GiantMIDI/midis/Nepomuceno, Alberto, Mazurka No.1, Op.1 No.2, XYM2s72Jspk.mid",True,"Nepomuceno, Alberto","Mazurka No.1, Op.1 No.2","imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Mazurka_No.1,_Op.1_No.2_"
"Nepomuceno, Alberto","Nocturne, Op.33","../GiantMIDI/midis/Nepomuceno, Alberto, Nocturne, Op.33, IsPdDeNVLIE.mid",True,"Nepomuceno, Alberto",Nocturne,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Nocturne_"
"Nepomuceno, Alberto","4 Peças lyricas, Op.13","../GiantMIDI/midis/Nepomuceno, Alberto, 4 Peças lyricas, Op.13, 8GvGNZW0qL4.mid",True,"Nepomuceno, Alberto",4 peças lyricas,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/4_peças_lyricas_"
"Nepomuceno, Alberto","Piano Sonata, Op.9","../GiantMIDI/midis/Nepomuceno, Alberto, Piano Sonata, Op.9, jd4cxMMggbU.mid",True,"Nepomuceno, Alberto",Piano Sonata,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Piano_Sonata_"
"Nepomuceno, Alberto","Thème et variations, Op.28","../GiantMIDI/midis/Nepomuceno, Alberto, Thème et variations, Op.28, 0j_DPByzMD8.mid",True,"Nepomuceno, Alberto",Thème et variations,"imslp_bootleg_dir-v1.1/Nepomuceno,_Alberto/Thème_et_variations_"
"Nerini, Émile","Piano Sonata No.1, Op.13","../GiantMIDI/midis/Nerini, Émile, Piano Sonata No.1, Op.13, kYuL6asVyt8.mid",True,"Nerini, Émile",Piano Sonata No.1,"imslp_bootleg_dir-v1.1/Nerini,_Émile/Piano_Sonata_No.1_"
"Neruda, Franz","Humoreske, Op.52","../GiantMIDI/midis/Neruda, Franz, Humoreske, Op.52, DE4dhY4_NfU.mid",False,,,
"Netzel, Laura","2 Etudes de Concert, Op.52","../GiantMIDI/midis/Netzel, Laura, 2 Etudes de Concert, Op.52, eD5BLXE1N1s.mid",True,"Netzel, Laura","2 Etudes de Concert, Op.52","imslp_bootleg_dir-v1.1/Netzel,_Laura/2_Etudes_de_Concert,_Op.52_"
"Netzel, Laura","Piano Sonata, Op.27","../GiantMIDI/midis/Netzel, Laura, Piano Sonata, Op.27, W-w4cLmcf9k.mid",True,"Netzel, Laura",Piano Sonata,"imslp_bootleg_dir-v1.1/Netzel,_Laura/Piano_Sonata_"
"Neukomm, Sigismund",Adagio in E-flat major 'Les adieux',"../GiantMIDI/midis/Neukomm, Sigismund, Adagio in E-flat major 'Les adieux', 4WqPHpYwsXo.mid",True,"Neukomm, Sigismund",Adagio in E-flat major 'Les adieux',"imslp_bootleg_dir-v1.1/Neukomm,_Sigismund/Adagio_in_E-flat_major_'Les_adieux'_"
"Neukomm, Sigismund",Tempo di Marcia,"../GiantMIDI/midis/Neukomm, Sigismund, Tempo di Marcia, hEKDOPAkEdM.mid",True,"Neukomm, Sigismund",Tempo di Marcia,"imslp_bootleg_dir-v1.1/Neukomm,_Sigismund/Tempo_di_Marcia_"
"Neupert, Edmund","24 Konzertetüden, Op.17","../GiantMIDI/midis/Neupert, Edmund, 24 Konzertetüden, Op.17, yd5mR7sbZTI.mid",False,,,
"Neustedt, Charles",Gavotte dans le style ancien,"../GiantMIDI/midis/Neustedt, Charles, Gavotte dans le style ancien, P1gZjvRvXQw.mid",True,"Neustedt, Charles",Gavotte dans le style ancien,"imslp_bootleg_dir-v1.1/Neustedt,_Charles/Gavotte_dans_le_style_ancien_"
"Neustedt, Charles","Idylle No.1, Op.82","../GiantMIDI/midis/Neustedt, Charles, Idylle No.1, Op.82, O6i3jKqCfM0.mid",True,"Neustedt, Charles","Idylle No.1, Op.82","imslp_bootleg_dir-v1.1/Neustedt,_Charles/Idylle_No.1,_Op.82_"
"Neustedt, Charles","Idylle No.3, Op.116","../GiantMIDI/midis/Neustedt, Charles, Idylle No.3, Op.116, j-U6VrpC_ro.mid",True,"Neustedt, Charles","Idylle No.3, Op.116","imslp_bootleg_dir-v1.1/Neustedt,_Charles/Idylle_No.3,_Op.116_"
"Neustedt, Charles",La marquise,"../GiantMIDI/midis/Neustedt, Charles, La marquise, eSXgpgVf37c.mid",True,"Neustedt, Charles",La marquise,"imslp_bootleg_dir-v1.1/Neustedt,_Charles/La_marquise_"
"Neustedt, Charles",Menuet sentimental,"../GiantMIDI/midis/Neustedt, Charles, Menuet sentimental, eSXgpgVf37c.mid",True,"Neustedt, Charles",Menuet sentimental,"imslp_bootleg_dir-v1.1/Neustedt,_Charles/Menuet_sentimental_"
"Neustedt, Charles",Songe de printemps,"../GiantMIDI/midis/Neustedt, Charles, Songe de printemps, 9XGIPT-PEJc.mid",True,"Neustedt, Charles",Songe de printemps,"imslp_bootleg_dir-v1.1/Neustedt,_Charles/Songe_de_printemps_"
"Neustedt, Charles",Vieille chanson,"../GiantMIDI/midis/Neustedt, Charles, Vieille chanson, mx5kjeEOX4Y.mid",True,"Neustedt, Charles",Vieille chanson,"imslp_bootleg_dir-v1.1/Neustedt,_Charles/Vieille_chanson_"
"Nevin, Arthur",From Edgeworth Hills,"../GiantMIDI/midis/Nevin, Arthur, From Edgeworth Hills, cxwRLRdKfGU.mid",True,"Nevin, Arthur",From Edgeworth Hills,"imslp_bootleg_dir-v1.1/Nevin,_Arthur/From_Edgeworth_Hills_"
"Nevin, Ethelbert","A Day in Venice, Op.25","../GiantMIDI/midis/Nevin, Ethelbert, A Day in Venice, Op.25, dlsKnovRnVo.mid",True,"Nevin, Ethelbert",A Day in Venice,"imslp_bootleg_dir-v1.1/Nevin,_Ethelbert/A_Day_in_Venice_"
"Nevin, Ethelbert","En Passant, Op.30","../GiantMIDI/midis/Nevin, Ethelbert, En Passant, Op.30, srxuL8Iyjq8.mid",True,"Nevin, Ethelbert",En Passant,"imslp_bootleg_dir-v1.1/Nevin,_Ethelbert/En_Passant_"
"Nevin, Ethelbert",The Rosary,"../GiantMIDI/midis/Nevin, Ethelbert, The Rosary, yirIjjLlKTk.mid",False,,,
"Nevin, Ethelbert","Sketchbook, Op.2","../GiantMIDI/midis/Nevin, Ethelbert, Sketchbook, Op.2, KjlIjKBwbjE.mid",True,"Nevin, Ethelbert",Sketchbook,"imslp_bootleg_dir-v1.1/Nevin,_Ethelbert/Sketchbook_"
"Newland, Robert A.","Valse Caprice, Op.7","../GiantMIDI/midis/Newland, Robert A., Valse Caprice, Op.7, k6s5_pPxmvY.mid",True,"Newland, Robert A.",Valse Caprice,"imslp_bootleg_dir-v1.1/Newland,_Robert_A./Valse_Caprice_"
"Newman, Chas. J.",Japanese Tone Picture,"../GiantMIDI/midis/Newman, Chas. J., Japanese Tone Picture, qQWFmH-iKek.mid",True,"Newman, Chas. J.",Japanese Tone Picture,"imslp_bootleg_dir-v1.1/Newman,_Chas._J./Japanese_Tone_Picture_"
"Newton, P. W.",Adele Waltz,"../GiantMIDI/midis/Newton, P. W., Adele Waltz, lbrZigaoCV4.mid",False,,,
"Newton, P. W.",An Evening Reverie,"../GiantMIDI/midis/Newton, P. W., An Evening Reverie, vOmKOmJI0uc.mid",False,,,
"Newton, P. W.",The Butterfly Dance,"../GiantMIDI/midis/Newton, P. W., The Butterfly Dance, o6POF8GbWEw.mid",False,,,
"Newton, P. W.",Day Dreams,"../GiantMIDI/midis/Newton, P. W., Day Dreams, 2QwrS1GYldI.mid",False,,,
"Newton, P. W.",Edna Gavotte,"../GiantMIDI/midis/Newton, P. W., Edna Gavotte, yOccTzKXFM8.mid",False,,,
"Newton, P. W.",Reina Galop,"../GiantMIDI/midis/Newton, P. W., Reina Galop, 6hSyG4wse5c.mid",False,,,
"Newton, P. W.",Remembrance,"../GiantMIDI/midis/Newton, P. W., Remembrance, lPrDR840T2Q.mid",False,,,
"Nguyen, Eric","Capriccio, Op.5","../GiantMIDI/midis/Nguyen, Eric, Capriccio, Op.5, 2vgPsimvFfI.mid",False,,,
"Nguyen, Eric","Etude in B-flat major, Op.2","../GiantMIDI/midis/Nguyen, Eric, Etude in B-flat major, Op.2, wBiMlqfcwGE.mid",True,"Nguyen, Eric",Etude in B-flat major,"imslp_bootleg_dir-v1.1/Nguyen,_Eric/Etude_in_B-flat_major_"
"Nichifor, Serban",5 American Pioneers Songs,"../GiantMIDI/midis/Nichifor, Serban, 5 American Pioneers Songs, -76tc1_qN0A.mid",False,,,
"Nichifor, Serban",The Circle,"../GiantMIDI/midis/Nichifor, Serban, The Circle, HRtyc_vRElE.mid",True,"Nichifor, Serban",The Circle,"imslp_bootleg_dir-v1.1/Nichifor,_Serban/The_Circle_"
"Nichifor, Serban",Conceptofonia,"../GiantMIDI/midis/Nichifor, Serban, Conceptofonia, 2Du-B28UDaI.mid",False,,,
"Nichifor, Serban",Debussy,"../GiantMIDI/midis/Nichifor, Serban, Debussy, qpHivXpHm50.mid",False,,,
"Nichifor, Serban",Echoes I,"../GiantMIDI/midis/Nichifor, Serban, Echoes I, 9FLi_N-BkPI.mid",False,,,
"Nichifor, Serban",Echoes,"../GiantMIDI/midis/Nichifor, Serban, Echoes, 9FLi_N-BkPI.mid",False,,,
"Nichifor, Serban",Fires On The Hill,"../GiantMIDI/midis/Nichifor, Serban, Fires On The Hill, PDsJ5Clywfw.mid",False,,,
"Nichifor, Serban",In Memoriam Daniel Pearl,"../GiantMIDI/midis/Nichifor, Serban, In Memoriam Daniel Pearl, n_9YtdI6mqI.mid",False,,,
"Nichifor, Serban",In Memoriam,"../GiantMIDI/midis/Nichifor, Serban, In Memoriam, SrhsvqngfBE.mid",True,"Nichifor, Serban",Epitaph In Memoriam Krzysztof Penderecki,"imslp_bootleg_dir-v1.1/Nichifor,_Serban/Epitaph_In_Memoriam_Krzysztof_Penderecki_"
"Nichifor, Serban",The Masque - Ragtime,"../GiantMIDI/midis/Nichifor, Serban, The Masque - Ragtime, gmHjMMs-h_g.mid",True,"Nichifor, Serban",The Masque - Ragtime,"imslp_bootleg_dir-v1.1/Nichifor,_Serban/The_Masque_-_Ragtime_"
"Nichifor, Serban",The Masque - Waltz,"../GiantMIDI/midis/Nichifor, Serban, The Masque - Waltz, NB_IDAtSMqA.mid",True,"Nichifor, Serban",The Masque - Waltz,"imslp_bootleg_dir-v1.1/Nichifor,_Serban/The_Masque_-_Waltz_"
"Nichifor, Serban","O, valuri...","../GiantMIDI/midis/Nichifor, Serban, O, valuri..., lHNntY32XiA.mid",False,,,
"Nichifor, Serban",Piano Sonata,"../GiantMIDI/midis/Nichifor, Serban, Piano Sonata, 6ONdzrUe07Y.mid",True,"Nichifor, Serban",Piano Sonata,"imslp_bootleg_dir-v1.1/Nichifor,_Serban/Piano_Sonata_"
"Nichifor, Serban",Sephardic Invocation,"../GiantMIDI/midis/Nichifor, Serban, Sephardic Invocation, tTY7Iz49IAw.mid",False,,,
"Nichifor, Serban",Sephardic Prayer,"../GiantMIDI/midis/Nichifor, Serban, Sephardic Prayer, tTY7Iz49IAw.mid",False,,,
"Nichifor, Serban",Tribute to Avram Iancu and Simion Balint,"../GiantMIDI/midis/Nichifor, Serban, Tribute to Avram Iancu and Simion Balint, PDsJ5Clywfw.mid",False,,,
"Nichifor, Serban",Variations On A Waltz By Leo Tolstoy,"../GiantMIDI/midis/Nichifor, Serban, Variations On A Waltz By Leo Tolstoy, QSyUEtUv4PI.mid",True,"Nichifor, Serban",Variations On A Waltz By Leo Tolstoy,"imslp_bootleg_dir-v1.1/Nichifor,_Serban/Variations_On_A_Waltz_By_Leo_Tolstoy_"
"Nicholl, Horace Wadham",Berceuse in G major,"../GiantMIDI/midis/Nicholl, Horace Wadham, Berceuse in G major, 5f3sAa9khAU.mid",False,,,
"Nicholl, Horace Wadham",Nocturne in C major,"../GiantMIDI/midis/Nicholl, Horace Wadham, Nocturne in C major, Aog6i2VM-PQ.mid",True,"Nicholl, Horace Wadham",Nocturne,"imslp_bootleg_dir-v1.1/Nicholl,_Horace_Wadham/Nocturne_"
"Nicholls, William Heller",Alsatian Echoes,"../GiantMIDI/midis/Nicholls, William Heller, Alsatian Echoes, LcG-FkZpjoQ.mid",True,"Nicholls, William Heller",Alsatian Echoes,"imslp_bootleg_dir-v1.1/Nicholls,_William_Heller/Alsatian_Echoes_"
"Nicholls, William Heller",Changing Moods,"../GiantMIDI/midis/Nicholls, William Heller, Changing Moods, geYM2QR1JFw.mid",True,"Nicholls, William Heller",Changing Moods,"imslp_bootleg_dir-v1.1/Nicholls,_William_Heller/Changing_Moods_"
"Nicholls, William Heller",Holiday Suite,"../GiantMIDI/midis/Nicholls, William Heller, Holiday Suite, e9vi8wlPBKQ.mid",True,"Nicholls, William Heller",Holiday Suite,"imslp_bootleg_dir-v1.1/Nicholls,_William_Heller/Holiday_Suite_"
"Nicholls, William Heller",In the Wood,"../GiantMIDI/midis/Nicholls, William Heller, In the Wood, lBLJkylBibA.mid",True,"Nicholls, William Heller",In the Wood,"imslp_bootleg_dir-v1.1/Nicholls,_William_Heller/In_the_Wood_"
"Nicholson-Ward, Alexander Robert","7 Preludes, Op.1","../GiantMIDI/midis/Nicholson-Ward, Alexander Robert, 7 Preludes, Op.1, BLDrXC4VxBw.mid",True,"Nicholson-Ward, Alexander Robert","7 Preludes, Op.1","imslp_bootleg_dir-v1.1/Nicholson-Ward,_Alexander_Robert/7_Preludes,_Op.1_"
"Nicodé, Jean Louis",Alla Tarantella,"../GiantMIDI/midis/Nicodé, Jean Louis, Alla Tarantella, VScaFYWZsnM.mid",False,,,
"Nicodé, Jean Louis","10 Poems, Op.22","../GiantMIDI/midis/Nicodé, Jean Louis, 10 Poems, Op.22, BL7Jr8O-uiM.mid",True,"Nicodé, Jean Louis",10 Poems,"imslp_bootleg_dir-v1.1/Nicodé,_Jean_Louis/10_Poems_"
"Nicolai, Carl Richter",Gavotte-Impromptu in G major,"../GiantMIDI/midis/Nicolai, Carl Richter, Gavotte-Impromptu in G major, piblGh5wfOU.mid",True,"Nicolai, Carl Richter",Gavotte-Impromptu in G major,"imslp_bootleg_dir-v1.1/Nicolai,_Carl_Richter/Gavotte-Impromptu_in_G_major_"
"Nie, Er",Dance of the Golden Snake,"../GiantMIDI/midis/Nie, Er, Dance of the Golden Snake, lKZndodyAmg.mid",False,,,
"Nielsen, Carl","Canto serioso, CNW 67","../GiantMIDI/midis/Nielsen, Carl, Canto serioso, CNW 67, 9XmmD0j-zJ0.mid",False,,,
"Nielsen, Carl","Chaconne, Op.32","../GiantMIDI/midis/Nielsen, Carl, Chaconne, Op.32, G44e0dufFx4.mid",True,"Nielsen, Carl","Chaconne, Op.32","imslp_bootleg_dir-v1.1/Nielsen,_Carl/Chaconne,_Op.32_"
"Nielsen, Carl","Drømmen om 'Glade jul', CNW 85","../GiantMIDI/midis/Nielsen, Carl, Drømmen om 'Glade jul', CNW 85, rJ6_80QUE80.mid",False,,,
"Nielsen, Carl","Humoreske-bagateller, Op.11","../GiantMIDI/midis/Nielsen, Carl, Humoreske-bagateller, Op.11, j8NmIjpMewQ.mid",True,"Nielsen, Carl","Humoreske-bagateller, Op.11","imslp_bootleg_dir-v1.1/Nielsen,_Carl/Humoreske-bagateller,_Op.11_"
"Nielsen, Carl","3 Klaverstykker, Op.59","../GiantMIDI/midis/Nielsen, Carl, 3 Klaverstykker, Op.59, q6In7kSwI1M.mid",True,"Nielsen, Carl","3 Klaverstykker, Op.59","imslp_bootleg_dir-v1.1/Nielsen,_Carl/3_Klaverstykker,_Op.59_"
"Nielsen, Carl","Solen er saa rød, Mor, CNW 263","../GiantMIDI/midis/Nielsen, Carl, Solen er saa rød, Mor, CNW 263, 6ilecVAOs5M.mid",False,,,
"Nielsen, Carl","Suite, Op.45","../GiantMIDI/midis/Nielsen, Carl, Suite, Op.45, Z4cB_7uEBxY.mid",True,"Nielsen, Carl","Suite, Op.45","imslp_bootleg_dir-v1.1/Nielsen,_Carl/Suite,_Op.45_"
"Nielsen, Carl","Theme and Variations, Op.40","../GiantMIDI/midis/Nielsen, Carl, Theme and Variations, Op.40, a5xRjsNLxaM.mid",True,"Nielsen, Carl","Theme and Variations, Op.40","imslp_bootleg_dir-v1.1/Nielsen,_Carl/Theme_and_Variations,_Op.40_"
"Nielsen, Ludolf",Aften i Skoven,"../GiantMIDI/midis/Nielsen, Ludolf, Aften i Skoven, B5U-PhldHXo.mid",True,"Nielsen, Ludolf",Aften i Skoven,"imslp_bootleg_dir-v1.1/Nielsen,_Ludolf/Aften_i_Skoven_"
"Nielsen, Ludolf",Drengenes Marsch!,"../GiantMIDI/midis/Nielsen, Ludolf, Drengenes Marsch!, JBmEuS9OFk4.mid",True,"Nielsen, Ludolf",Drengenes Marsch!,"imslp_bootleg_dir-v1.1/Nielsen,_Ludolf/Drengenes_Marsch!_"
"Nielsen, Ludolf","Nocturne, Op.55 No.1","../GiantMIDI/midis/Nielsen, Ludolf, Nocturne, Op.55 No.1, ODNnMzHS-IE.mid",True,"Nielsen, Ludolf",Nocturne,"imslp_bootleg_dir-v1.1/Nielsen,_Ludolf/Nocturne_"
"Nielsen, Ludolf","4 Piano Pieces, Op.17","../GiantMIDI/midis/Nielsen, Ludolf, 4 Piano Pieces, Op.17, 8IV6cwuNTPY.mid",True,"Nielsen, Ludolf","4 Piano Pieces, Op.17","imslp_bootleg_dir-v1.1/Nielsen,_Ludolf/4_Piano_Pieces,_Op.17_"
"Niemann, Georg","Frühlingstraum, Op.43","../GiantMIDI/midis/Niemann, Georg, Frühlingstraum, Op.43, I40FBNA7Wx4.mid",True,"Niemann, Georg",Frühlingstraum,"imslp_bootleg_dir-v1.1/Niemann,_Georg/Frühlingstraum_"
"Niemann, Rudolf","2 Bluettes, Op.10","../GiantMIDI/midis/Niemann, Rudolf, 2 Bluettes, Op.10, o084lcqqyns.mid",True,"Niemann, Rudolf",2 Bluettes,"imslp_bootleg_dir-v1.1/Niemann,_Rudolf/2_Bluettes_"
"Niemann, Rudolf","Träumerei, Op.38","../GiantMIDI/midis/Niemann, Rudolf, Träumerei, Op.38, C1Mv_jTP6Qs.mid",True,"Niemann, Rudolf",Träumerei,"imslp_bootleg_dir-v1.1/Niemann,_Rudolf/Träumerei_"
"Niemann, Rudolf","Valse de Concert, Op.36","../GiantMIDI/midis/Niemann, Rudolf, Valse de Concert, Op.36, N8qXZNQMNcI.mid",False,,,
"Niemann, Rudolf","Valse de Salon, Op.30","../GiantMIDI/midis/Niemann, Rudolf, Valse de Salon, Op.30, lq4iBO3H16Y.mid",True,"Niemann, Rudolf",Valse de Salon,"imslp_bootleg_dir-v1.1/Niemann,_Rudolf/Valse_de_Salon_"
"Niemann, Walter","3 Amoretten, Op.15","../GiantMIDI/midis/Niemann, Walter, 3 Amoretten, Op.15, 3h02e1tYWKU.mid",False,,,
"Niemann, Walter","Fantasie-Mazurka, Op.53","../GiantMIDI/midis/Niemann, Walter, Fantasie-Mazurka, Op.53, Bq0BXYA7riI.mid",False,,,
"Niemann, Walter","Japan, Op.89","../GiantMIDI/midis/Niemann, Walter, Japan, Op.89, 6MaKEbKfp7k.mid",False,,,
"Niemann, Walter","Krippenmusik zur Weihnacht, Op.143","../GiantMIDI/midis/Niemann, Walter, Krippenmusik zur Weihnacht, Op.143, Vlw4H6Y2Kas.mid",False,,,
